"";"Term";"Occurrences";"Stopword"
"applis";"applis";8;""
"ash";"ash";8;""
"assagissement";"assag";8;""
"atp";"atp";8;""
"aujour";"aujour";8;""
"aussiallemagne";"aussiallemagn";8;""
"auteuil";"auteuil";8;""
"bad";"bad";8;""
"bagneux";"bagneux";8;""
"bapif";"bapif";8;""
"beaugas";"beaug";8;""
"bellanger";"bellang";8;""
"bernier";"berni";8;""
"blesson";"blesson";8;""
"bnpl";"bnpl";8;""
"bozio";"bozio";8;""
"bqp";"bqp";8;""
"briand";"briand";8;""
"brice";"bric";8;""
"bullard";"bullard";8;""
"burns";"burn";8;""
"caba";"cab";8;""
"cagnottage";"cagnottag";8;""
"cdg";"cdg";8;""
"chapuis";"chapuis";8;""
"chartres";"chartr";8;""
"cherpas";"cherp";8;""
"chrysler";"chrysl";8;""
"cice";"cic";8;""
"clayes";"clay";8;""
"cnm";"cnm";8;""
"contributeurs";"contributeur";8;""
"coquerel";"coquerel";8;""
"cotentin";"cotentin";8;""
"couet";"couet";8;""
"cre";"cre";8;""
"cybersécurité";"cybersécur";8;""
"dales";"dal";8;""
"damoclès";"damocles";8;""
"danemark";"danemark";8;""
"daniela";"daniel";8;""
"dijon";"dijon";8;""
"dopées";"dop";8;""
"dpe";"dpe";8;""
"drôme";"drôm";8;""
"duty";"duty";8;""
"dws";"dw";8;""
"easyjet";"easyjet";8;""
"écono";"écono";8;""
"emrys";"emry";8;""
"envi";"envi";8;""
"estanguet";"estanguet";8;""
"fdsea";"fdse";8;""
"fisher";"fish";8;""
"flation";"flation";8;""
"floride";"florid";8;""
"foir";"foir";8;""
"fontenay";"fontenay";8;""
"forint";"forint";8;""
"formateurs";"formateur";8;""
"fortiori";"fortior";8;""
"fund";"fund";8;""
"gaillac";"gaillac";8;""
"gautier";"gauti";8;""
"godeluck";"godeluck";8;""
"guadeloupe";"guadeloup";8;""
"gucci";"gucc";8;""
"hamon";"hamon";8;""
"happyvore";"happyvor";8;""
"héloïse";"héloïs";8;""
"homeexchange";"homeexchang";8;""
"ia";"ia";8;""
"impactant";"impact";8;""
"indexations";"index";8;""
"influenceurs";"influenceur";8;""
"interprofession";"interprofess";8;""
"investors";"investor";8;""
"ipca";"ipca";8;""
"istat";"istat";8;""
"jeff";"jeff";8;""
"jessica";"jessic";8;""
"karim";"karim";8;""
"kazuo";"kazuo";8;""
"kemal";"kemal";8;""
"kenya";"keni";8;""
"kippour";"kippour";8;""
"kuhanathan";"kuhanathan";8;""
"lacroix";"lacroix";8;""
"lary";"lary";8;""
"lecornu";"lecornu";8;""
"lefèvre";"lefevr";8;""
"leïla";"leïl";8;""
"lons";"lon";8;""
"lustman";"lustman";8;""
"macroniste";"macron";8;""
"magali";"magal";8;""
"maillage";"maillag";8;""
"malika";"malik";8;""
"marcelo";"marcelo";8;""
"margaret";"margaret";8;""
"maur";"maur";8;""
"mcdo";"mcdo";8;""
"meaux";"meau";8;""
"meilleurtaux";"meilleurtal";8;""
"mélanie";"mélan";8;""
"meti";"met";8;""
"michon";"michon";8;""
"midterms";"midterm";8;""
"minelli";"minel";8;""
"moec";"moec";8;""
"mohammed";"mohammed";8;""
"mondialisée";"mondialis";8;""
"monétarisme";"monétar";8;""
"monétiser";"monétis";8;""
"monnet";"monnet";8;""
"moreira";"moreir";8;""
"moscovici";"moscovic";8;""
"mpc";"mpc";8;""
"mt";"mt";8;""
"multilatérales";"multilatéral";8;""
"mustafa";"mustaf";8;""
"mutricy";"mutricy";8;""
"mutualiste";"mutual";8;""
"nabioullina";"nabioullin";8;""
"nazaire";"nazair";8;""
"ndiaye";"ndiay";8;""
"nobile";"nobil";8;""
"ofgem";"ofgem";8;""
"oliveau";"oliveau";8;""
"one";"one";8;""
"otan";"otan";8;""
"ouigo";"ouigo";8;""
"oxfam";"oxfam";8;""
"pannier";"panni";8;""
"panquiault";"panquiault";8;""
"pantheon";"pantheon";8;""
"pcb";"pcb";8;""
"percevront";"percevront";8;""
"péremption";"pérempt";8;""
"perrin";"perrin";8;""
"personnalisés";"personnalis";8;""
"pimkie";"pimk";8;""
"plébiscitée";"plébiscit";8;""
"plui";"plui";8;""
"privat";"privat";8;""
"prudentiel";"prudentiel";8;""
"psa";"psa";8;""
"py";"py";8;""
"qubic";"qubic";8;""
"rachel";"rachel";8;""
"raingeard";"raingeard";8;""
"rationnements";"ration";8;""
"ray";"ray";8;""
"rcn";"rcn";8;""
"relocaliser";"relocalis";8;""
"répercutera";"répercut";8;""
"replay";"replay";8;""
"reuilly";"reuilly";8;""
"rib";"rib";8;""
"rième";"riem";8;""
"riksbank";"riksbank";8;""
"rodolphe";"rodolph";8;""
"rolling";"rolling";8;""
"runacher";"runach";8;""
"sabine";"sabin";8;""
"samsung";"samsung";8;""
"sánchez";"sánchez";8;""
"savary";"savary";8;""
"scrutées";"scrut";8;""
"shanghaï";"shanghaï";8;""
"sharif";"sharif";8;""
"sms";"sm";8;""
"socioprofessionnelles";"socioprofessionnel";8;""
"solveig";"solveig";8;""
"sondées";"sond";8;""
"starbucks";"starbuck";8;""
"stockholm";"stockholm";8;""
"stuffing";"stuffing";8;""
"superéthanol";"superéthanol";8;""
"surépargne";"surépargn";8;""
"syndex";"syndex";8;""
"target";"target";8;""
"task";"task";8;""
"tesco";"tesco";8;""
"thibaud";"thibaud";8;""
"thibault";"thibault";8;""
"ticpe";"ticp";8;""
"traders";"trader";8;""
"ueda";"ued";8;""
"university";"university";8;""
"urss";"urss";8;""
"ush";"ush";8;""
"vaucluse";"vauclus";8;""
"vingts";"vingt";8;""
"weekendesk";"weekendesk";8;""
"wolfgang";"wolfgang";8;""
"wright";"wright";8;""
"www";"www";8;""
"xxl";"xxl";8;""
"you";"you";8;""
"zeitoun";"zeitoun";8;""
"aaa";"aaa";7;""
"abdel";"abdel";7;""
"accor";"accor";7;""
"adsl";"adsl";7;""
"aéroportuaire";"aéroportuair";7;""
"aghion";"aghion";7;""
"agritel";"agritel";7;""
"amghar";"amghar";7;""
"amlo";"amlo";7;""
"angèle";"angel";7;""
"anjou";"anjou";7;""
"antilles";"antill";7;""
"antivols";"antivol";7;""
"aprr";"aprr";7;""
"arcelormittal";"arcelormittal";7;""
"argenteuil";"argenteuil";7;""
"arnault";"arnault";7;""
"audois";"audois";7;""
"aussiface";"aussifac";7;""
"aussifrance";"aussifr";7;""
"autoconsommation";"autoconsomm";7;""
"automaticité";"automat";7;""
"bell";"bel";7;""
"bellile";"bellil";7;""
"bénéficieraient";"bénéfici";7;""
"bernanke";"bernank";7;""
"bluebay";"bluebay";7;""
"boata";"boat";7;""
"boostent";"boostent";7;""
"bouny";"bouny";7;""
"bp";"bp";7;""
"broadbent";"broadbent";7;""
"brochard";"brochard";7;""
"brodart";"brodart";7;""
"bulgnéville";"bulgnévill";7;""
"cabau";"cabau";7;""
"cadastrales";"cadastral";7;""
"camburet";"camburet";7;""
"capgemini";"capgemin";7;""
"cau";"cau";7;""
"ccep";"ccep";7;""
"chain";"chain";7;""
"chartered";"chartered";7;""
"chélini";"chélin";7;""
"chevallier";"chevalli";7;""
"cimalpes";"cimalp";7;""
"claudia";"claudi";7;""
"cnuced";"cnuced";7;""
"colgate";"colgat";7;""
"commercialisés";"commercialis";7;""
"company";"company";7;""
"connait";"con";7;""
"consulting";"consulting";7;""
"corbeil";"corbeil";7;""
"corrélé";"correl";7;""
"corum";"corum";7;""
"costa";"cost";7;""
"coty";"coty";7;""
"coûtants";"coût";7;""
"crt";"crt";7;""
"danièle";"daniel";7;""
"darren";"darren";7;""
"das";"das";7;""
"deauville";"deauvill";7;""
"delahaye";"delahay";7;""
"delatte";"delatt";7;""
"delors";"delor";7;""
"déloyales";"déloyal";7;""
"déréférencement";"déréférenc";7;""
"détaillent";"détaillent";7;""
"dimon";"dimon";7;""
"disneyland";"disneyland";7;""
"diw";"diw";7;""
"drees";"dre";7;""
"ecologie";"ecolog";7;""
"edmond";"edmond";7;""
"egalement";"egal";7;""
"électoraliste";"électoral";7;""
"elsa";"elsa";7;""
"emilie";"emil";7;""
"endettent";"endettent";7;""
"enrique";"enriqu";7;""
"eurosceptique";"euroscept";7;""
"evergrande";"evergrand";7;""
"exportatrices";"export";7;""
"exportent";"exportent";7;""
"extremis";"extrem";7;""
"faivre";"faivr";7;""
"fanta";"fant";7;""
"fargo";"fargo";7;""
"feef";"feef";7;""
"ferracci";"ferracc";7;""
"financiarisation";"financiaris";7;""
"fiscalisés";"fiscalis";7;""
"floa";"flo";7;""
"fnhpa";"fnhpa";7;""
"fnmf";"fnmf";7;""
"friperies";"friper";7;""
"gafam";"gafam";7;""
"gambetta";"gambet";7;""
"gault";"gault";7;""
"gelencser";"gelencs";7;""
"généralisés";"généralis";7;""
"geneviève";"geneviev";7;""
"gennevilliers";"gennevilli";7;""
"ghana";"ghan";7;""
"gifi";"gif";7;""
"gmf";"gmf";7;""
"goetz";"goetz";7;""
"gonzales";"gonzal";7;""
"goodhart";"goodhart";7;""
"gosselin";"gosselin";7;""
"grady";"grady";7;""
"great";"great";7;""
"gremillet";"gremillet";7;""
"hambourg";"hambourg";7;""
"hamilton";"hamilton";7;""
"handelsblatt";"handelsblatt";7;""
"hautefort";"hautefort";7;""
"hénaff";"hénaff";7;""
"hoc";"hoc";7;""
"holzmann";"holzmann";7;""
"hong";"hong";7;""
"hve";"hve";7;""
"ice";"ice";7;""
"iliad";"iliad";7;""
"indec";"indec";7;""
"interbancaires";"interbancair";7;""
"intercommunale";"intercommunal";7;""
"intermédiation";"intermédi";7;""
"irving";"irving";7;""
"isaac";"isaac";7;""
"islamabad";"islamabad";7;""
"ivry";"ivry";7;""
"joubert";"joubert";7;""
"jouvhomme";"jouvhomm";7;""
"justin";"justin";7;""
"katia";"kati";7;""
"kong";"kong";7;""
"kozul";"kozul";7;""
"krakovitch";"krakovitch";7;""
"lacombe";"lacomb";7;""
"landeroin";"landeroin";7;""
"last";"last";7;""
"later";"lat";7;""
"lawrence";"lawrenc";7;""
"leduc";"leduc";7;""
"lemoine";"lemoin";7;""
"lescure";"lescur";7;""
"lotois";"lotois";7;""
"lunéville";"lunévill";7;""
"lydie";"lyd";7;""
"maël";"maël";7;""
"maje";"maj";7;""
"majorations";"major";7;""
"majoré";"major";7;""
"maprimerénov";"maprimerénov";7;""
"marionnaud";"marionnaud";7;""
"marjorie";"marjor";7;""
"marty";"marty";7;""
"mathias";"mathi";7;""
"maud";"maud";7;""
"maxence";"maxenc";7;""
"mayotte";"mayott";7;""
"mazier";"mazi";7;""
"mnguerre";"mnguerr";7;""
"mondialisées";"mondialis";7;""
"monetary";"monetary";7;""
"morel";"morel";7;""
"mournet";"mournet";7;""
"mutualisation";"mutualis";7;""
"mw";"mw";7;""
"nathan";"nathan";7;""
"neuilly";"neuilly";7;""
"nhs";"nh";7;""
"nicola";"nicol";7;""
"ninon";"ninon";7;""
"now";"now";7;""
"nuggets";"nugget";7;""
"oanda";"oand";7;""
"obsoco";"obsoco";7;""
"occi";"occi";7;""
"parthenon";"parthenon";7;""
"pea";"pe";7;""
"pélissier";"pélissi";7;""
"pelloli";"pellol";7;""
"pepsi";"peps";7;""
"phytosanitaires";"phytosanitair";7;""
"pimco";"pimco";7;""
"playstation";"playstat";7;""
"plébiscitées";"plébiscit";7;""
"pluriannuelle";"pluriannuel";7;""
"pluriannuels";"pluriannuel";7;""
"positionnant";"position";7;""
"positionnées";"position";7;""
"postpandémie";"postpandem";7;""
"prévost";"prévost";7;""
"primonial";"primonial";7;""
"princeton";"princeton";7;""
"prioritairement";"prioritair";7;""
"privilégiez";"privileg";7;""
"prohibitifs";"prohibit";7;""
"protected";"protected";7;""
"psg";"psg";7;""
"rauline";"raulin";7;""
"raymond";"raymond";7;""
"réduflation";"rédufl";7;""
"réindexation";"réindex";7;""
"reversés";"revers";7;""
"rioux";"rioux";7;""
"rolf";"rolf";7;""
"romanet";"romanet";7;""
"romeu";"romeu";7;""
"rothschild";"rothschild";7;""
"salomon";"salomon";7;""
"salvador";"salvador";7;""
"sao";"sao";7;""
"sarthois";"sarthois";7;""
"selin";"selin";7;""
"shaktikanta";"shaktikant";7;""
"sharon";"sharon";7;""
"shrink";"shrink";7;""
"slovénie";"sloven";7;""
"smpga";"smpga";7;""
"sociétales";"sociétal";7;""
"soudan";"soudan";7;""
"souillot";"souillot";7;""
"spac";"spac";7;""
"stains";"stain";7;""
"startups";"startup";7;""
"steve";"stev";7;""
"supeco";"supeco";7;""
"supérettes";"supéret";7;""
"supply";"supply";7;""
"syrie";"syr";7;""
"taclé";"tacl";7;""
"tavares";"tavar";7;""
"tea";"te";7;""
"tendanciellement";"tendanciel";7;""
"thibaut";"thibaut";7;""
"thompson";"thompson";7;""
"tikehau";"tikehau";7;""
"timothée";"timoth";7;""
"tion";"tion";7;""
"travel";"travel";7;""
"ttf";"ttf";7;""
"tucuman";"tucuman";7;""
"umut";"umut";7;""
"valéry";"valéry";7;""
"végane";"végan";7;""
"vélizy";"vélizy";7;""
"verallia";"veralli";7;""
"vertbaudet";"vertbaudet";7;""
"veyrier";"veyri";7;""
"vientiane";"vientian";7;""
"villefranche";"villefranch";7;""
"volker";"volk";7;""
"voyagistes";"voyag";7;""
"vtc";"vtc";7;""
"vuitton";"vuitton";7;""
"wauquiez";"wauqu";7;""
"wells";"wel";7;""
"wood";"wood";7;""
"zhang";"zhang";7;""
"zhiwei";"zhiwei";7;""
"abis";"abis";6;""
"abritel";"abritel";6;""
"accéléreront";"accéler";6;""
"accenture";"accentur";6;""
"acpr";"acpr";6;""
"addactis";"addact";6;""
"adoue";"adou";6;""
"advisory";"advisory";6;""
"ahmed";"ahmed";6;""
"alarment";"alarment";6;""
"alex";"alex";6;""
"alexeï";"alexeï";6;""
"alfortville";"alfortvill";6;""
"allgemeine";"allgemein";6;""
"alpina";"alpin";6;""
"alterfood";"alterfood";6;""
"altice";"altic";6;""
"altiservice";"altiservic";6;""
"amora";"amor";6;""
"andes";"ande";6;""
"annecy";"annecy";6;""
"annus";"annus";6;""
"apec";"apec";6;""
"arbitrable";"arbitr";6;""
"arkema";"arkem";6;""
"armin";"armin";6;""
"arte";"arte";6;""
"audincourt";"audincourt";6;""
"auray";"auray";6;""
"aurel";"aurel";6;""
"aussiau";"aussiau";6;""
"aussibanque";"aussibanqu";6;""
"aussibudget";"aussibudget";6;""
"aussifed";"aussifed";6;""
"autoentrepreneur";"autoentrepreneur";6;""
"autoréalisatrices";"autoréalis";6;""
"aveyronnaise";"aveyronnais";6;""
"avionneur";"avionneur";6;""
"aviragnet";"aviragnet";6;""
"ayrault";"ayrault";6;""
"bagnolet";"bagnolet";6;""
"bali";"bal";6;""
"bangkok";"bangkok";6;""
"barbie";"barb";6;""
"barcelone";"barcelon";6;""
"batignolles";"batignoll";6;""
"bauer";"bau";6;""
"baule";"baul";6;""
"bb";"bb";6;""
"bellon";"bellon";6;""
"bénassy";"bénassy";6;""
"berd";"berd";6;""
"berthelot";"berthelot";6;""
"bertin";"bertin";6;""
"beschizza";"beschizz";6;""
"bezos";"bezos";6;""
"bgc";"bgc";6;""
"biélorussie";"biéloruss";6;""
"biotech";"biotech";6;""
"biotechs";"biotech";6;""
"blockchain";"blockchain";6;""
"blouin";"blouin";6;""
"bmw";"bmw";6;""
"bodin";"bodin";6;""
"boh";"boh";6;""
"boisset";"boisset";6;""
"boostée";"boost";6;""
"borrell";"borrel";6;""
"bouchaud";"bouchaud";6;""
"bowman";"bowman";6;""
"boyer";"boi";6;""
"bretton";"bretton";6;""
"bronca";"bronc";6;""
"brown";"brown";6;""
"burn";"burn";6;""
"busson";"busson";6;""
"bva";"bva";6;""
"cadurcien";"cadurcien";6;""
"caillet";"caillet";6;""
"cantin";"cantin";6;""
"cardif";"cardif";6;""
"carenco";"carenco";6;""
"carias";"cari";6;""
"carine";"carin";6;""
"caron";"caron";6;""
"carstens";"carsten";6;""
"castéra";"caster";6;""
"cazeneuve";"cazeneuv";6;""
"cémoi";"cémoi";6;""
"ceoe";"ceo";6;""
"cesu";"cesu";6;""
"chaines";"chain";6;""
"champigneulles";"champigneull";6;""
"chanel";"chanel";6;""
"charal";"charal";6;""
"citroën";"citroën";6;""
"clairefontaine";"clairefontain";6;""
"cmo";"cmo";6;""
"coeuré";"coeur";6;""
"complexifie";"complexif";6;""
"conciliaprêt";"conciliaprêt";6;""
"conditionnalité";"conditionnal";6;""
"conflictualité";"conflictual";6;""
"contraignants";"contraign";6;""
"cooperl";"cooperl";6;""
"cordier";"cordi";6;""
"corrélée";"correl";6;""
"crnkovic";"crnkovic";6;""
"ct";"ct";6;""
"cua";"cu";6;""
"cyber";"cyb";6;""
"daily";"daily";6;""
"dayot";"dayot";6;""
"delhomme";"delhomm";6;""
"delvau";"delvau";6;""
"démarques";"démarqu";6;""
"désemplissent";"désempl";6;""
"désinflationnistes";"désinflation";6;""
"desouches";"desouch";6;""
"dior";"dior";6;""
"director";"director";6;""
"dixmier";"dixmi";6;""
"dmitri";"dmitr";6;""
"dopent";"dopent";6;""
"duclos";"duclos";6;""
"dumas";"dum";6;""
"easy";"easy";6;""
"ebuyclub";"ebuyclub";6;""
"écogestes";"écogest";6;""
"eglise";"eglis";6;""
"ehrhardt";"ehrhardt";6;""
"eiffel";"eiffel";6;""
"electric";"electric";6;""
"électro";"électro";6;""
"ellen";"ellen";6;""
"email";"email";6;""
"énergéticien";"énergéticien";6;""
"england";"england";6;""
"epr";"epr";6;""
"erik";"erik";6;""
"erwann";"erwann";6;""
"essentiem";"essentiem";6;""
"esser";"esser";6;""
"euroapi";"euroap";6;""
"eurogroupe";"eurogroup";6;""
"eurostar";"eurostar";6;""
"evans";"evan";6;""
"évelyne";"évelyn";6;""
"fanichet";"fanichet";6;""
"farandou";"farandou";6;""
"farooqi";"farooq";6;""
"favre";"favr";6;""
"fbf";"fbf";6;""
"fca";"fca";6;""
"fédère";"féder";6;""
"fernand";"fernand";6;""
"fertilisants";"fertilis";6;""
"fhp";"fhp";6;""
"fidesz";"fidesz";6;""
"fitzner";"fitzn";6;""
"foix";"foix";6;""
"fragilisant";"fragilis";6;""
"fragilisent";"fragilisent";6;""
"frankfurter";"frankfurt";6;""
"friggit";"frigg";6;""
"fsl";"fsl";6;""
"ftx";"ftx";6;""
"galbraith";"galbraith";6;""
"gallaine";"gallain";6;""
"gandhi";"gandh";6;""
"gasté";"gast";6;""
"gazoducs";"gazoduc";6;""
"geev";"geev";6;""
"geiger";"geig";6;""
"georg";"georg";6;""
"gervais";"gerv";6;""
"gestions";"gestion";6;""
"getir";"get";6;""
"gharbi";"gharb";6;""
"gheeraert";"gheeraert";6;""
"ghr";"ghr";6;""
"giles";"gil";6;""
"griveaux";"griveau";6;""
"gualeguaychu";"gualeguaychu";6;""
"guérande";"guérand";6;""
"gueugneau";"gueugneau";6;""
"happy";"happy";6;""
"harker";"hark";6;""
"harmonisée";"harmonis";6;""
"haussmann";"haussmann";6;""
"hcpf";"hcpf";6;""
"hébergeurs";"hébergeur";6;""
"hec";"hec";6;""
"hesse";"hess";6;""
"houses";"hous";6;""
"hugues";"hugu";6;""
"husson";"husson";6;""
"ian";"ian";6;""
"ifm";"ifm";6;""
"ifrap";"ifrap";6;""
"ilc";"ilc";6;""
"imerys";"imery";6;""
"immo";"immo";6;""
"inc";"inc";6;""
"industry";"industry";6;""
"inégalitaires";"inégalitair";6;""
"inès";"ines";6;""
"institutionnelles";"institutionnel";6;""
"interbancaire";"interbancair";6;""
"ipek";"ipek";6;""
"islamo";"islamo";6;""
"italia";"itali";6;""
"jacky";"jacky";6;""
"jacobs";"jacob";6;""
"janicaud";"janicaud";6;""
"jedliczka";"jedliczk";6;""
"jonas";"jon";6;""
"jordan";"jordan";6;""
"jouéclub";"jouéclub";6;""
"jousse";"jouss";6;""
"katz";"katz";6;""
"kévin";"kévin";6;""
"laforêt";"laforêt";6;""
"landel";"landel";6;""
"laurin";"laurin";6;""
"lbbw";"lbbw";6;""
"least";"least";6;""
"lepetit";"lepet";6;""
"lesieur";"lesieur";6;""
"libye";"liby";6;""
"lijuan";"lijuan";6;""
"lme";"lme";6;""
"louverné";"louvern";6;""
"louwagie";"louwag";6;""
"lse";"lse";6;""
"madagascar";"madagascar";6;""
"madelin";"madelin";6;""
"mahfouz";"mahfouz";6;""
"majorés";"major";6;""
"mankiw";"mankiw";6;""
"marco";"marco";6;""
"mariana";"marian";6;""
"mariault";"mariault";6;""
"maurepas";"maurep";6;""
"mauroy";"mauroy";6;""
"mégawatt";"mégawatt";6;""
"meilleursagents";"meilleursagent";6;""
"mercato";"mercato";6;""
"mervyn";"mervyn";6;""
"mesnil";"mesnil";6;""
"messi";"mess";6;""
"métavers";"métaver";6;""
"metro";"metro";6;""
"meuros";"meuros";6;""
"mickaël";"mickaël";6;""
"miguel";"miguel";6;""
"milka";"milk";6;""
"minorer";"minor";6;""
"mnhausse";"mnhauss";6;""
"mnmalgré";"mnmalgr";6;""
"mnpour";"mnpour";6;""
"mnzone";"mnzon";6;""
"mobilians";"mobilian";6;""
"modificative";"modif";6;""
"moez";"mo";6;""
"monier";"moni";6;""
"montefiore";"montefior";6;""
"morteau";"morteau";6;""
"mourad";"mourad";6;""
"multilatérale";"multilatéral";6;""
"nawaz";"nawaz";6;""
"nespresso";"nespresso";6;""
"nitrites";"nitrit";6;""
"nutritionnelles";"nutritionnel";6;""
"oetam";"oetam";6;""
"ogm";"ogm";6;""
"omt";"omt";6;""
"oreo";"oreo";6;""
"org";"org";6;""
"orléans";"orléan";6;""
"orpea";"orpe";6;""
"otto";"otto";6;""
"oudéa";"oudé";6;""
"ozkardeskaya";"ozkardeskai";6;""
"pac";"pac";6;""
"palmolive";"palmol";6;""
"pel";"pel";6;""
"pénaliserait";"pénalis";6;""
"penchinat";"penchinat";6;""
"personal";"personal";6;""
"pfu";"pfu";6;""
"philadelphie";"philadelph";6;""
"players";"player";6;""
"pleurtuit";"pleurtuit";6;""
"podemos";"podemos";6;""
"pöhl";"pöhl";6;""
"positionnés";"position";6;""
"prégnant";"pregn";6;""
"private";"privat";6;""
"pt";"pt";6;""
"puget";"puget";6;""
"puteaux";"puteau";6;""
"qua";"qua";6;""
"quiberon";"quiberon";6;""
"quoiqu";"quoiqu";6;""
"rba";"rba";6;""
"reconnait";"recon";6;""
"refashion";"refashion";6;""
"refondation";"refond";6;""
"reims";"reim";6;""
"résilients";"résilient";6;""
"retiers";"reti";6;""
"revalorisant";"revaloris";6;""
"revolving";"revolving";6;""
"rmt";"rmt";6;""
"rogoff";"rogoff";6;""
"roosevelt";"roosevelt";6;""
"rotterdam";"rotterdam";6;""
"rubeela";"rubeel";6;""
"ruffin";"ruffin";6;""
"ryan";"ryan";6;""
"saïd";"saïd";6;""
"sainsbury";"sainsbury";6;""
"salariées";"salari";6;""
"salmon";"salmon";6;""
"salvetat";"salvetat";6;""
"samu";"samu";6;""
"savm";"savm";6;""
"saxe";"sax";6;""
"schumer";"schum";6;""
"schwartz";"schwartz";6;""
"scor";"scor";6;""
"sdi";"sdi";6;""
"sébastian";"sébastian";6;""
"sectorielle";"sectoriel";6;""
"sg";"sg";6;""
"shein";"shein";6;""
"skiables";"skiabl";6;""
"society";"society";6;""
"solderies";"solder";6;""
"sos";"sos";6;""
"sosh";"sosh";6;""
"sovereign";"sovereign";6;""
"sterdyniak";"sterdyniak";6;""
"stmicroelectronics";"stmicroelectronic";6;""
"supercycle";"supercycl";6;""
"surreprésentées";"surreprésent";6;""
"sweet";"sweet";6;""
"swissquote";"swissquot";6;""
"sydev";"sydev";6;""
"systémiques";"system";6;""
"takes";"tak";6;""
"tarnais";"tarn";6;""
"télétravailler";"télétravaill";6;""
"tennessee";"tennesse";6;""
"thévenot";"thévenot";6;""
"thiellay";"thiellay";6;""
"tiendeo";"tiendeo";6;""
"tiffany";"tiffany";6;""
"tirole";"tirol";6;""
"tmi";"tmi";6;""
"torrollion";"torrollion";6;""
"totalénergies";"totalénerg";6;""
"toullec";"toullec";6;""
"tournefeuille";"tournefeuill";6;""
"uruguayens";"uruguayen";6;""
"vélib";"vélib";6;""
"verzeletti";"verzelet";6;""
"vidéoprotection";"vidéoprotect";6;""
"vince";"vinc";6;""
"vincendeau";"vincendeau";6;""
"vratsa";"vrats";6;""
"west";"west";6;""
"whatever";"whatev";6;""
"wolf";"wolf";6;""
"woods";"wood";6;""
"wtw";"wtw";6;""
"wunsch";"wunsch";6;""
"xii";"xii";6;""
"xiv";"xiv";6;""
"xl";"xl";6;""
"xxie";"xxi";6;""
"zac";"zac";6;""
